# X [m]   Y [m]   Z [m]
831.177107368     -1921.5620012     2240.18446138
1810.45720492     -1719.05153102     2274.62518265
2789.73730248     -1516.54106084     2338.67970608
-1718.27837161     -1938.19812787     2068.46642738
-1228.63832283     -1836.94289278     2097.17853365
-738.998274054     -1735.68765769     2119.35596241
-249.358225277     -1634.4324226     2166.7402725
240.2818235     -1533.17718751     2183.34835117
729.921872278     -1431.92195242     2213.37221738
1219.56192106     -1330.66671733     2228.20145325
1709.20196983     -1229.41148224     2286.60525704
2198.84201861     -1128.15624715     2295.93344663
2688.48206739     -1026.90101206     2304.26485152
3178.12211616     -925.645776968     2344.57533017
-1329.89355792     -1347.30284401     2090.90195024
-350.613460368     -1144.79237382     2169.65910816
628.666637187     -942.281903643     2196.65404199
1607.94673474     -739.771433462     2222.09749035
2587.2268323     -537.260963281     2293.779364
-1920.78884179     -958.918030318     2100.42123444
-1431.14879301     -857.662795228     2104.80748328
-941.508744236     -756.407560137     2112.52156981
-451.868695458     -655.152325047     2125.00474649
37.7713533193     -553.897089956     2196.34521599
527.411402097     -452.641854866     2161.85617098
1017.05145087     -351.386619775     2151.79374219
1506.69149965     -250.131384685     2215.71255616
1996.33154843     -148.876149594     2220.01355632
2485.97159721     -47.6209145035     2280.98138649
2975.61164598     53.634320587     2288.03512943
-1532.4040281     -368.02274645     2109.8395167
-553.123930549     -165.512276269     2109.53839697
426.156167006     36.9981939118     2138.0585496
1405.43626456     239.508664093     2192.08641634
2384.71636212     442.019134274     2243.89165912
-2123.29931197     20.3620672366     2114.29544896
-1633.65926319     121.617302327     2117.48212966
-1144.01921442     222.872537418     2125.72447732
-654.379165639     324.127772508     2129.67855937
-164.739116862     425.383007599     2134.55150781
324.900931916     526.638242689     2140.19774759
814.540980693     627.89347778     2156.06687346
1304.18102947     729.14871287     2176.68052054
1793.82107825     830.403947961     2231.95992483
2283.46112703     931.659183051     2250.40718581
2773.1011758     1032.91441814     2265.52494231
-1734.91449828     611.257351105     2126.83069142
-755.63440073     813.767821286     2136.64195505
223.645696825     1016.27829147     2155.61265336
1202.92579438     1218.78876165     2152.97476026
2182.20589193     1421.29923183     2240.47402191
-2325.80978215     999.642164792     2124.20760677
-1836.16973338     1100.89739988     2126.73448902
-1346.5296846     1202.15263497     2137.67434145
-856.88963582     1303.40787006     2151.03025145
-367.249587043     1404.66310515     2146.78523262
122.390461735     1505.91834024     2178.00152577
