# X [m]   Y [m]   Z [m]
1377.2099007     2831.76352358     2199.1708446
2335.87275667     3116.30794647     2217.86946007
3294.53561263     3400.85236936     2312.05289341
4253.19846859     3685.39679225     2378.28092656
5211.86132456     3969.94121514     2434.94783784
6170.52418052     4254.48563803     2489.35857546
7129.18703648     4539.03006092     2548.44092299
-5617.97451393     1798.61541933     2237.96566957
-4659.31165796     2083.15984221     2354.24218374
-3700.648802     2367.7042651     2374.96038276
-2741.98594604     2652.24868799     2271.13013887
-1783.32309007     2936.79311088     2223.06957859
-824.660234111     3221.33753377     2180.83245258
134.002621852     3505.88195666     2175.75343544
1092.66547782     3790.42637955     2208.78213731
2051.32833378     4074.97080244     2217.32769624
3009.99118974     4359.51522532     2254.82106804
3968.6540457     4644.05964821     2296.11203286
4927.31690167     4928.6040711     2332.98294712
5885.97975763     5213.14849399     2434.22254742
6844.64261359     5497.69291688     2474.19061558
7803.30546956     5782.23733977     2532.3640679
-3985.19322489     3326.36712107     2361.22352434
-3026.53036893     3610.91154395     2458.3965332
-1109.204657     4180.00038973     2248.40766627
-150.541801036     4464.54481262     2218.6785312
808.121054927     4749.08923551     2227.17863251
1766.78391089     5033.6336584     2227.29338887
2725.44676685     5318.17808129     2232.82878795
3684.10962282     5602.72250418     2270.68354184
4642.77247878     5887.26692706     2343.24429346
5601.43533474     6171.81134995     2359.54595377
6560.0981907     6456.35577284     2493.02074317
7518.76104667     6740.90019573     2518.22000085
523.576632038     5707.75209147     2278.78800718
1482.239488     5992.29651436     2306.19148092
2440.90234396     6276.84093725     2266.62450174
3399.56519993     6561.38536014     2258.28524017
4358.22805589     6845.92978303     2331.14654946
5316.89091185     7130.47420592     2380.99626886
6275.55376782     7415.0186288     2410.32988183
7234.21662378     7699.56305169     2464.46981602
8192.87947974     7984.10747458     2535.57527175
1197.69506511     6950.95937032     2387.25602381
2156.35792108     7235.50379321     2415.83400097
3115.02077704     7520.0482161     2359.12610566
4073.683633     7804.59263899     2309.93853598
5032.34648896     8089.13706188     2321.29930465
5991.00934493     8373.68148477     2416.79287714
6949.67220089     8658.22590766     2511.32056371
7908.33505685     8942.77033054     2472.32461289
1871.81349819     8194.16664918     2599.15249659
2830.47635415     8478.71107206     2519.86879784
3789.13921011     8763.25549495     2414.64755733
4747.80206608     9047.79991784     2359.2216489
5706.46492204     9332.34434073     2372.02315181
6665.127778     9616.88876362     2404.2687111
7623.79063396     9901.43318651     2459.44354235
2545.93193126     9437.37392803     2660.95046241
3504.59478722     9721.91835092     2640.45311037
4463.25764319     10006.4627738     2580.56841464
5421.92049915     10291.0071967     2555.42309692
6380.58335511     10575.5516196     2456.86908398
4178.7132203     10965.1256298     2627.33088295
5137.37607626     11249.6700527     2685.09133398
-839.932403611     -1998.79338038     2125.59806777
118.730452351     -1714.24895749     2192.34876611
1077.39330831     -1429.7045346     2223.37627093
2036.05616428     -1145.16011171     2272.50651591
2994.71902024     -860.615688824     2324.86369376
-1461.53604304     -1661.73416384     2070.30241022
-982.204615056     -1519.4619524     2099.25884859
-502.873187074     -1377.18974095     2136.72545179
-23.5417590929     -1234.91752951     2178.5968286
455.789668889     -1092.64531806     2170.54568659
935.12109687     -950.37310662     2184.08634967
1414.45252485     -808.100895175     2191.99901485
1893.78395283     -665.828683731     2247.21823428
2373.11538081     -523.556472287     2265.28494705
2852.4468088     -381.284260842     2300.69109935
3331.77823678     -239.012049398     2355.34824309
-1124.4768265     -1040.13052442     2088.91569243
-165.813970537     -755.586101527     2176.28020086
792.848885426     -471.041678638     2166.32508886
1751.51174139     -186.497255749     2221.40785548
2710.17459735     98.0471671392     2288.65314547
